Company ID,umap1,umap2,cluster,Financial distress
3,12.150517,10.312636,A Resilient high-profit cash generators,0
4,7.7485833,4.5470505,C Thin-margin vulnerable operators,0
5,11.506474,6.3166776,B Healthy profitable core SMEs,0
6,9.431982,3.827661,C Thin-margin vulnerable operators,0
9,7.359066,0.2397091,C Thin-margin vulnerable operators,0
10,11.774573,-1.0615579,C Thin-margin vulnerable operators,0
12,13.074279,7.2839227,B Healthy profitable core SMEs,0
13,7.9744864,11.508358,A Resilient high-profit cash generators,0
14,13.007213,5.793061,B Healthy profitable core SMEs,0
16,9.199779,2.724219,C Thin-margin vulnerable operators,0
18,9.608247,3.3938606,C Thin-margin vulnerable operators,0
20,7.720482,3.4716992,C Thin-margin vulnerable operators,0
23,9.060732,0.84525913,C Thin-margin vulnerable operators,0
25,10.902886,4.3751707,B Healthy profitable core SMEs,0
27,6.682576,4.024108,C Thin-margin vulnerable operators,0
29,8.726369,3.033675,C Thin-margin vulnerable operators,0
30,10.799103,10.613824,A Resilient high-profit cash generators,0
31,11.392184,1.2888665,C Thin-margin vulnerable operators,0
32,7.4589357,2.956929,C Thin-margin vulnerable operators,0
33,9.844188,6.53503,B Healthy profitable core SMEs,0
34,9.572778,11.75091,A Resilient high-profit cash generators,0
35,14.237715,6.1489882,B Healthy profitable core SMEs,0
37,11.824892,7.8519187,B Healthy profitable core SMEs,0
39,8.2363405,6.8188195,B Healthy profitable core SMEs,0
41,9.746758,10.251412,A Resilient high-profit cash generators,0
43,11.114083,11.200279,A Resilient high-profit cash generators,0
44,10.241524,5.360953,B Healthy profitable core SMEs,0
47,7.696318,4.2949767,B Healthy profitable core SMEs,0
48,7.6547823,2.680373,C Thin-margin vulnerable operators,0
50,10.664032,5.4490843,B Healthy profitable core SMEs,0
52,8.520335,7.6955614,B Healthy profitable core SMEs,0
55,8.406472,4.037711,C Thin-margin vulnerable operators,0
56,10.253638,2.1046817,C Thin-margin vulnerable operators,0
58,11.964289,6.975089,B Healthy profitable core SMEs,0
59,11.031722,1.8878354,C Thin-margin vulnerable operators,0
61,9.502298,3.7288477,C Thin-margin vulnerable operators,0
62,7.945303,3.8095365,C Thin-margin vulnerable operators,0
67,11.125585,4.02692,B Healthy profitable core SMEs,0
70,9.344077,6.758664,B Healthy profitable core SMEs,0
72,13.050204,5.164425,B Healthy profitable core SMEs,0
76,10.452356,5.043348,B Healthy profitable core SMEs,0
77,10.424604,6.3108582,B Healthy profitable core SMEs,0
80,12.772027,4.4850554,B Healthy profitable core SMEs,0
82,12.256004,6.908256,B Healthy profitable core SMEs,0
83,10.703005,4.0142307,B Healthy profitable core SMEs,0
84,11.146161,2.1784518,B Healthy profitable core SMEs,0
85,10.779643,3.2872663,C Thin-margin vulnerable operators,0
86,-4.0497704,5.2361794,E Loss-making cash-flow distressed firms,0
87,11.199779,11.923774,A Resilient high-profit cash generators,0
90,7.754571,1.2833979,C Thin-margin vulnerable operators,0
93,10.740557,10.47752,A Resilient high-profit cash generators,0
95,8.039598,3.6546566,C Thin-margin vulnerable operators,0
97,10.680316,3.4425924,B Healthy profitable core SMEs,0
98,9.58586,0.67911476,C Thin-margin vulnerable operators,0
100,6.2978373,-0.48259503,E Loss-making cash-flow distressed firms,0
102,12.930109,9.250685,A Resilient high-profit cash generators,0
103,10.580807,6.541753,B Healthy profitable core SMEs,0
108,11.970583,10.034549,A Resilient high-profit cash generators,0
110,12.932409,6.5827274,B Healthy profitable core SMEs,0
111,13.079588,6.810733,B Healthy profitable core SMEs,0
113,6.6505265,4.007544,C Thin-margin vulnerable operators,0
114,11.803296,-1.1838824,C Thin-margin vulnerable operators,0
115,10.184221,7.208696,B Healthy profitable core SMEs,0
116,11.309911,8.704587,A Resilient high-profit cash generators,0
117,0.9563191,4.238648,C Thin-margin vulnerable operators,0
118,13.454363,4.4581075,B Healthy profitable core SMEs,0
119,9.495527,6.28891,B Healthy profitable core SMEs,0
123,11.706244,0.05879684,C Thin-margin vulnerable operators,0
126,11.161317,1.205639,C Thin-margin vulnerable operators,0
127,12.642725,9.323054,A Resilient high-profit cash generators,0
129,9.479078,11.738294,A Resilient high-profit cash generators,0
130,10.894637,4.067726,B Healthy profitable core SMEs,0
131,9.014309,5.46788,B Healthy profitable core SMEs,0
132,11.227133,10.412183,A Resilient high-profit cash generators,0
134,12.088088,4.6782923,B Healthy profitable core SMEs,0
135,8.226088,0.9438626,C Thin-margin vulnerable operators,0
136,12.018692,5.7896924,B Healthy profitable core SMEs,0
137,7.7964263,6.428574,B Healthy profitable core SMEs,0
139,10.118492,7.6192527,B Healthy profitable core SMEs,0
142,10.173166,3.137495,C Thin-margin vulnerable operators,0
143,9.8946495,6.1158476,B Healthy profitable core SMEs,0
144,7.763912,2.3487399,C Thin-margin vulnerable operators,0
145,10.216418,5.8380885,B Healthy profitable core SMEs,0
146,12.535189,5.135604,B Healthy profitable core SMEs,0
147,1.6489794,4.47294,C Thin-margin vulnerable operators,0
149,10.6755,10.36962,A Resilient high-profit cash generators,0
151,8.804398,10.635607,A Resilient high-profit cash generators,0
152,11.789181,9.185153,A Resilient high-profit cash generators,0
155,8.634625,2.5116594,C Thin-margin vulnerable operators,0
156,9.981908,4.191366,B Healthy profitable core SMEs,0
158,12.244348,4.962351,B Healthy profitable core SMEs,0
159,11.096227,4.000424,B Healthy profitable core SMEs,0
162,10.769856,2.2448545,C Thin-margin vulnerable operators,0
164,9.513792,1.285623,C Thin-margin vulnerable operators,0
166,12.311452,2.8262825,C Thin-margin vulnerable operators,0
168,10.888934,3.0678916,C Thin-margin vulnerable operators,0
169,10.332388,1.9453495,C Thin-margin vulnerable operators,0
171,6.691484,3.542623,C Thin-margin vulnerable operators,0
172,9.971639,0.71693134,C Thin-margin vulnerable operators,0
175,9.823232,0.7083374,C Thin-margin vulnerable operators,0
176,10.379062,0.397038,C Thin-margin vulnerable operators,0
179,12.975711,8.570199,A Resilient high-profit cash generators,0
180,9.379517,3.1419132,C Thin-margin vulnerable operators,0
182,8.507022,5.192623,B Healthy profitable core SMEs,0
183,11.211614,6.358801,B Healthy profitable core SMEs,0
185,9.405155,0.8413877,C Thin-margin vulnerable operators,0
186,11.619573,8.695726,A Resilient high-profit cash generators,0
